,id
3828,21535750
3829,21540737
8260,48270362
6597,38229920
3904,21816757
3901,21811156
3900,21809773
3899,21805468
3902,21814906
3903,21816519
7779,45504644
7778,45503836
7079,40897425
2436,14073163
2435,14070671
5014,28574888
7446,43207089
7394,42815488
8552,49692306
3782,21366948
3781,21365714
5159,29573034
5724,32858018
7855,45868989
6723,39005916
1520,9597031
7939,46332477
8218,48091126
5295,30198386
8036,46886851
1692,10253315
1691,10253159
1690,10252921
3083,17992512
6660,38600017
6186,35509087
6187,35510968
6188,35512005
6184,35496842
6192,35526392
6190,35516587
6191,35520176
6185,35504611
6189,35513360
7355,42537367
8881,51210127
1236,7911437
3654,20795854
3655,20801388
3656,20811403
3008,17500994
8733,50526813
5367,30557920
8956,51524100
7081,40899576
5678,32549155
5677,32548384
7116,41108462
6703,38933996
9002,51692043
7167,41380850
9156,52307085
9140,52240499
5196,29756137
7445,43197566
7444,43185808
3575,20388056
3579,20407916
3574,20385467
3578,20406782
3577,20401541
3580,20418684
3576,20396246
3581,20420152
6087,35025921
6086,35012500
6088,35026161
7283,42108441
7012,40582472
5752,33133219
5281,30129734
7607,44307743
5027,28635035
6914,40040311
6913,40040224
722,4033521
3891,21772083
3890,21771881
7387,42746488
7243,41798673
2839,16368793
7136,41214610
8350,48831918
7015,40611604
4175,22985354
4176,22985419
4174,22985168
2820,16298763
2622,15247262
2621,15222861
8071,47070508
9224,52534962
6592,38186479
4558,25313204
3305,19188166
3304,19177262
5505,31319331
8680,50232928
4481,24893756
5683,32586373
5681,32566536
7314,42357974
385,1370405
8319,48654449
8320,48657187
1725,10522830
6132,35252845
6131,35249458
6134,35257699
6133,35254823
5858,33766179
3099,18077042
9366,53050789
2504,14472272
5790,33363084
8174,47835024
7068,40870831
8659,50164061
8125,47412929
5410,30793033
3241,18872858
4816,27237325
3474,19912065
8038,46897706
3726,21120547
6991,40467488
6677,38733040
1324,8664611
7237,41753654
8923,51357616
3931,21913811
5120,29256358
8377,48940172
2921,16798165
5511,31413351
7804,45659035
7805,45670010
7803,45654492
7802,45652742
7941,46340227
1034,6438456
8419,49096894
3090,18024956
4448,24670846
5260,30021914
5122,29260051
7672,44722548
9306,52825041
3373,19449463
3607,20573255
3608,20582991
8086,47183756
3801,21435800
6004,34600024
6005,34603173
6006,34618352
6007,34620162
6008,34621385
6009,34623269
6003,34596961
9320,52884648
7571,44021024
9062,51989137
5204,29814549
5269,30082958
8011,46706759
3061,17842111
145,419373
9005,51712660
9004,51703788
8252,48247585
3423,19715121
3189,18629154
7221,41665877
8155,47730353
6359,36808981
6360,36813643
6361,36815318
6362,36832048
5455,31059670
3444,19802994
8619,50017842
672,3696043
7212,41614248
7294,42203409
4926,27967621
1284,8343222
9228,52555884
8545,49649623
7300,42282238
1323,8662518
2296,13582811
2297,13584582
8588,49887317
8829,50977776
4872,27610367
748,4225569
4745,26747248
3975,22057103
3976,22058411
3974,22050355
8710,50417430
1902,11716677
1903,11724873
8825,50959200
9334,52948447
5301,30232126
9195,52430029
8877,51184002
7871,45944408
8666,50181584
456,1936772
8365,48903782
